FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,_FKDVTop,_FOTVTop,_FFatTop,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod
8186,8984,320.134,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8985,320.071,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8986,320.104,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8987,320.027,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8988,320.052,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8989,320.111,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8990,320.096,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8991,320.036,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8992,320.033,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8993,320.020,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8994,320.063,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8995,320.132,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8996,320.100,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8997,320.116,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8998,320.133,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8999,320.047,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9000,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9001,320.062,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9002,320.107,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9003,320.005,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9004,320.098,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9005,320.064,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9006,320.051,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,Halk Bankası çalışanı aldı.,,,,,,,,
8186,9007,320.076,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9008,320.093,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9009,320.030,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9010,320.097,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9011,320.004,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9012,TKNK- 002,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9013,320.065,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9014,320.085,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9015,320.059,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9016,320.049,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9017,320.140,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9023,320.139,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9027,320.119,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,9028,YS- 003,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8187,9018,120.049,Sky kargodan alındı.,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
8188,9019,120.084,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8189,9020,120.193,Kwikpay ile alındı.,US,,610.0,,,,,,,,,,,,,,,,,,,,,,,,
8190,9021,120.122,Kargo 34'ten alındı.,US,,210.0,,,,,,,,,,,,,,,,,,,,,,,,
8191,9022,120.096,Kargo 34'ten alındı.,US,,380.0,,,,,,,,,,,,,,,,,,,,,,,,
8192,9024,120.051,Vilnius Kargodan alındı.,EU,,650.0,,,,,,,,,,,,,,,,,,,,,,,,
8193,9025,120.075,Medya otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8194,9026,120.076,Medya otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8195,9029,120.198,Korona Pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8197,9031,120.043,Magnolya Shoestan alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8198,9032,120.048,WU ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8199,9033,120.054,Korona pay ile alındı.,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8200,9034,320.144,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8201,9035,320.137,017 Belge 288 Çift *6$ iskonto,US,,1728.0,,,,,,,,,,,,,,,,,,,,,,,,
8203,9037,120.017,İNDİRİM,US,,2304.0,,,,,,,,,,,,,,,,017 Belge 137 firma 288 çift *8 discount,,,,,,,,
8204,9038,120.021,TT Kargodan alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8205,9039,120.193,Kwikpay ile alındı.,US,,170.0,,,,,,,,,,,,,,,,,,,,,,,,
8206,9040,120.112,Alsu Trans Kargodan alındı.,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8207,9041,120.184 ,Korona Pay ile alındı.,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8208,9042,120.156,Korona Pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8209,9043,120.087,Korona Pay ile alındı.,US,,884.0,,,,,,,,,,,,,,,,,,,,,,,,
8210,9044,120.128,Kargo 34'ten alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8211,9045,120.102,1 koli ayaklık ödemesi,TL,,3250.0,,,,,,,,,,,,,,,,,,,,,,,,
8212,9046,120.154,Vanya Rubil kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8213,9047,120.007,Medya otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8214,9048,120.077,Via Rometti den alındı.,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8215,9049,120.139,KZ 999 kargodan alındı.,US,,448.0,,,,,,,,,,,,,,,,,,,,,,,,
8216,9050,120.122,Talibe Tekstilden alındı.,US,,130.0,,,,,,,,,,,,,,,,,,,,,,,,
8217,9051,120.155,Kargo 34'ten alındı.,US,,408.0,,,,,,,,,,,,,,,,,,,,,,,,
8218,9052,120.048,İNDİRİM ,US,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
8219,9053,120.037,Kostea dan alındı. Dadaş Park,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8220,9054,120.078,İADE 107-5606 DİKİŞLER FARKLI AYA VURUYOR,US,,27.0,,,,,,,,,,,,,,,,,,,,,,,,
8221,9055,120.062,Medya otelden alındı.,US,,388.0,,,,,,,,,,,,,,,,,,,,,,,,
8222,9056,120.162,Dila Kuyumculuktan alındı.,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8223,9057,120.181,Kwikpay ile alındı.,US,,250.0,,,,,,,,,,,,,,,,,,,,,,,,
8224,9058,120.128,Kargo 34'ten alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9059,YS- 002,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9060,320.057,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9061,320.015,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,"77,350 TL karşılığı",,,,,,,,
8225,9062,320.014,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9063,320.081,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9064,320.099,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9065,320.117,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9066,320.108,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9067,320.052,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9068,320.104,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9069,320.096,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9070,320.071,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9071,320.130,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9072,320.118,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9073,320.088,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9074,TKNK- 002,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9075,320.047,Mağaza Tahsilatı,EU,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9076,320.067,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9077,320.020,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9078,320.116,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9079,320.069,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9080,320.136,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9081,YS- 003,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9082,320.139,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9083,320.097,Mağaza Tahsilatı,EU,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9084,320.028,Mağaza Tahsilatı,EU,,140.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9085,320.063,Mağaza Tahsilatı,EU,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9086,320.061,Mağaza Tahsilatı,EU,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9087,320.093,Mağaza Tahsilatı,EU,,340.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9088,320.024,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9089,320.036,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9090,320.056,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9091,320.107,Mağaza Tahsilatı,EU,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9092,320.004,Banka Hesabı üzerinden,TL,,40000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9095,320.043,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9096,320.103,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9097,320.085,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9098,320.080,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9099,320.049,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9100,320.111,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8225,9101,320.132,Mağaza Tahsilatı,US,,60.0,,,,,,,,,,,,,,,,,,,,,,,,
8226,9093,120.032,İNDİRİM,US,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
8227,9094,120.033,İNDİRİM,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
8228,9102,120.184 ,Korona Pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8229,9103,120.184 ,1 adet çuval parası,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
8230,9104,120.039,Mario Muzi den alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8231,9105,120.084,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8232,9106,120.196,WU ile alındı.,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
8233,9107,120.137,Pegas kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8234,9108,120.049,Korona pay ile alındı.,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
8235,9109,120.002,NB Group kargodan alındı.,US,,12468.0,,,,,,,,,,,,,,,,,,,,,,,,
8236,9110,120.169,Mega Kargodan alındı.,US,,2472.0,,,,,,,,,,,,,,,,Emrah aldı.,,,,,,,,
8237,9111,120.166,Mega kargodan alındı.,US,,408.0,,,,,,,,,,,,,,,,Emrah aldı.,,,,,,,,
8238,9112,120.078,TAHSİLAT MAGAZA RUSLAN,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8239,9113,120.146,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8240,9114,120.164,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8241,9115,120.031,Zeri Golddan alındı.,US,,3170.0,,,,,,,,,,,,,,,,,,,,,,,,
8242,9116,120.111,Orginos Travelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8243,9117,120.149,Medya Otelden alındı.,US,,384.0,,,,,,,,,,,,,,,,,,,,,,,,
8244,9118,120.130,Vellini Çantadan alındı.,US,,610.0,,,,,,,,,,,,,,,,,,,,,,,,
8245,9119,120.202,VIP kargodan alındı.,US,,409.0,,,,,,,,,,,,,,,,,,,,,,,,
8246,9120,120.144, 90.800 TL karşılığı,TL,,90800.0,,,,,,,,,,,,,,,,Emrah hesabına,,,,,,,,
8247,9121,120.201,Alsu kargodan alındı.,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8248,9122,120.022,Ünal kargodan alındı.,US,,500.0,,,,,,,,,,,,,,,,Emrah aldı.,,,,,,,,
8250,9124,120.063,Medya Otelden alındı.,US,,850.0,,,,,,,,,,,,,,,,,,,,,,,,
8251,9125,120.135,Antik kargodan alındı.,US,,250.0,,,,,,,,,,,,,,,,,,,,,,,,
8252,9126,120.024,TAHSİLAT MAGAZA,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8253,9127,120.024,İADE 8 ÇİFT YANLIŞ RENK GİTTİ,US,,304.0,,,,,,,,,,,,,,,,,,,,,,,,
8254,9128,120.043,Lottini den alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8255,9129,120.065,Korona Pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8256,9130,120.100,Aksaray otelden alındı.,US,,380.0,,,,,,,,,,,,,,,,,,,,,,,,
8257,9131,120.072,TAHSİLAT MAGAZA,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8258,9132,120.024,TAHSİLAT MAGAZA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8259,9133,120.078,İADE 103-995 1 ÇİFT BACIK PAKSULU KIRIK,US,,44.0,,,,,,,,,,,,,,,,,,,,,,,,
8259,9134,120.078,İADE 033-2430 LİLA KAGIT DERİLER FARKLI,US,,18.0,,,,,,,,,,,,,,,,,,,,,,,,
8259,9135,120.078,İADE 108-201 ATKISI KOPTU 2 ÇİFT,US,,26.0,,,,,,,,,,,,,,,,,,,,,,,,
8259,9136,120.078,İADE 092-1671 DERİ KOPTU,US,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
8259,9137,120.078,İADE 023-8123 TAŞLAR DÜSTÜ VE İÇ ASTAR SİYAH ÇOK AYA BOYAMIŞ,US,,45.0,,,,,,,,,,,,,,,,,,,,,,,,
8260,9138,120.184 ,Korona Pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8261,9139,120.199,Deniz 5777 kargodan alındı.,US,,465.0,,,,,,,,,,,,,,,,,,,,,,,,
8262,9140,120.091,Ünal otelden alındı.,US,,1270.0,,,,,,,,,,,,,,,,,,,,,,,,
8263,9141,120.147,İdeal kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8264,9142,120.072,Korona pay ile alındı.,US,,3076.0,,,,,,,,,,,,,,,,,,,,,,,,
8265,9143,120.089,Originos Travelden alındı.,US,,260.0,,,,,,,,,,,,,,,,,,,,,,,,
8266,9144,120.075,Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8267,9145,120.076,Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8268,9146,320.030,Streç Deri,US,,15.0,,,,,,,,,,,,,,,,,,,,,,,,
8269,9147,120.102,2 koli  ayaklık ödemesi,TL,,6500.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9148,120.049,Sky kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9149,120.196,Mega kargodan alındı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9150,120.206,Harmani Lojistikten alındı.,US,,2210.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9151,120.112,Alsu Trans kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9152,120.102,Medved kargodan alındı.,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9153,120.010,Korona pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9154,120.087,Korona pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9155,120.154,Rubil kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9156,120.052,Diren Kids tekstilden alındı.,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9157,120.001,Beştau kargodan alındı.,US,,19880.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9158,120.054,Korona pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8270,9159,120.187,Korona pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
